Наименование административного района;Площадь административного района, км2;Наименование категории земель;Наименование участкового лесничества;Площадь лесов, га;Площадь земель защитных лесов, га;Площадь лесных земель, га;Общая площадь земель, покрытых лесной растительностью, га;Площадь земель с лесами хвойных пород, га;Площадь земель с лесами твердолиственных пород, га;Лесистость территории, %;Порядковый номер
Курортный (Молодежное);267.9;Земли населенных пунктов;Молодежное;4809;4809;4384;4341;3353;8;90;8
Курортный (Комаровское);267.9;Земли населенных пунктов;Комаровское;4088;4088;3854;3841;3043;9;94;7
Курортный (Сестрорецкое);267.9;Земли населенных пунктов;Сестрорецкое;3935;3935;2527;2522;1186;5;64;11
Курортный (Песочинское);267.9;Земли населенных пунктов;Песочинское;1009;1009;850;850;441;0;84;9
Курортный (Приморское);267.9;Земли населенных пунктов;Приморское;2430;2430;2177;2174;871;3;89;10
Выборгский (Песочинское);115.5;Земли населенных пунктов;Песочинское;2160;2160;1896;1889;1069;11;87;1
Красносельский  (Кипенское);114;Земли населенных пунктов;Кипенское;44;44;25;25;4;;57;5
Приморский (Кипенское);110;Земли населенных пунктов;Песочинское;222;222;195;190;112;;85;15
Приморский (Песочинское);110;Земли населенных пунктов;Приморское;1403;1403;1127;1124;420;14;80;16
Петродворцовый  (Кипенское);109;Земли населенных пунктов;Кипенское;2236;2236;1869;1868;1216;9;84;13
Колпинский (Кипенское);105.6;Земли населенных пунктов;Кипенское;574;574;398;398;137;0;69;3
Курортный (городской округ);267.9;Земли населенных пунктов;;16271;16271;13791;13727;8893;24;51;12
Выборгский (городской округ);115.5;Земли населенных пунктов;;2160;2160;1896;1887;1069;11;16;2
Красносельский  (городской округ);114;Земли населенных пунктов;;44;44;25;25;4;;0;6
Приморский (городской округ);110;Земли населенных пунктов;;1625;1625;1322;1314;532;14;12;17
Петродворцовый (городской округ);109;Земли населенных пунктов;;2236;2236;1869;1868;1216;9;17;14
Колпинский  (городской округ);105.6;Земли населенных пунктов;;574;574;398;398;137;;4;4
